"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
330,"NCT04143412","Efficacy of ACE Inhibitors, MRAs and ACE Inhibitor/ MRA Combination",,"Recruiting","No Results Available","Diabetic Nephropathy Type 2|Microalbuminuria Due to Type 2 Diabetes Mellitus","Drug: Tritace (Ramipril 10 mg)","Urinary albumin/creatinin ratio (UACR)|Blood pressure|estimated Glomerular Filtration Rate (e GFR)|Serum K","Beni-Suef University","All","30 Years to 80 Years   (Adult, Older Adult)","Phase 2","75","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","RAAS blockers in albuminuria","February 4, 2019","February 2020","March 2020","October 29, 2019",,"January 18, 2020","Faculty of Medicine,Beni-Suef University, Banī Suwayf, Egypt",,"https://ClinicalTrials.gov/show/NCT04143412"
331,"NCT03815955","Reducing Sedentary Behaviour in Patients With Type II Diabetes",,"Completed","No Results Available","Diabetes|Diabetes Mellitus, Type 2|Sedentary Lifestyle","Behavioral: Non-Sedentary Behaviour Modelling","Frequency of Non-Sedentary Behaviour Breaks|Non-Sedentary Behaviour Break Time|Capillary Blood Glucose|Self-efficacy|Goal Intentions|Positive and Negative Affect","Western University, Canada|St. Joseph's Health Care London","All","18 Years and older   (Adult, Older Adult)","Not Applicable","25","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","112907","March 14, 2019","April 25, 2019","April 25, 2019","January 25, 2019",,"October 1, 2019","University of Western Ontario, London, Ontario, Canada|St. Joseph's Family Medical and Dental Centre, London, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT03815955"
332,"NCT04092738","´Sit Less, Move More` at Work: mHealth Intervention on Office Employees With Diabetes Type 2.","Walk@Work","Recruiting","No Results Available","Diabetes Mellitus, Type II","Behavioral: Walk@WorkApp-Diab","Change in Fasting glucose levels|Change in concentration of HbA1c|Change in weight|Change in height|Change in Body Mass Index|Change in Waist circumference|Change in objective Occupational sedentary behaviour|Change in subjective domain-specific sedentary behaviour|Change in objective occupational physical activity|Change in subjective occupational physical activity","Jordi Gol i Gurina Foundation|Instituto de Salud Carlos III|Consorci Hospitalari de Vic|Institut Català de la Salut|University of Vic - Central University of Catalonia|Puerta de Hierro University Hospital","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","368","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","PI17/01788","March 4, 2019","January 2020","September 2021","September 17, 2019",,"September 17, 2019","IDIAP Jordi Gol, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT04092738"
333,"NCT04004273","Diabetes, Exercise and Liver Fat (DELIVER)","(DELIVER)","Recruiting","No Results Available","Type 2 Diabetes Mellitus|Non-Alcoholic Fatty Liver Disease|Obesity|Insulin Resistance|Liver Diseases|Fatty Liver|Diabetes Mellitus|Glucose Metabolism Disorders|Glucose Intolerance|Metabolic Disease","Behavioral: Exercise","Change in liver saturated lipid index (%) determined by proton magnetic resonance spectroscopy (1H-MRS) using a 3T MRI scanner|Change in Liver unsaturated lipid index (%) - measured using 1H-MRS|Change in Liver polyunsaturated lipid index (%) - measured using 1H-MRS|Change in total hepatic lipid composition (%) - measured using 1H-MRS|Change in liver inflammation - measured using magnetic resonance imaging (MRI) with a 3T Philips Ingenia MRI scanner|Change in visceral adipose tissue - measured using magnetic resonance imaging (MRI) with a 3T Philips Ingenia MRI scanner|Change in subcutaneous abdominal adipose tissue - measured using magnetic resonance imaging (MRI) with a 3T Philips Ingenia MRI scanner|Change in body mass|Change in body fat percentage|Change in aerobic fitness (peak oxygen uptake)|Change in liver enzymes|Change in glucose|Change in insulin|Change in lipids|Change in HbA1c|Change in homeostasis model assessment of insulin resistance (HOMA-IR; surrogate marker of hepatic insulin resistance)|Change in adipose tissue insulin resistance (ADIPO-IR; surrogate marker of adipose tissue insulin resistance)|Change in circulating Inflammatory proteins|Change in Hepatokines|Change in objectively measured sedentary time - GENEactiv physical activity monitor|Change in objectively measured physical activity - GENEactiv physical activity monitor|Change in energy intake|Change in macronutrient intake","James King|University Hospitals, Leicester|Nottingham University Hospitals NHS Trust|University of Nottingham|Loughborough University","Male","30 Years to 75 Years   (Adult, Older Adult)","Not Applicable","26","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","241046","October 30, 2018","April 1, 2020","April 1, 2020","July 2, 2019",,"July 2, 2019","University Hospitals of Leicester Nhs Trust, Leicester, East Midlands, United Kingdom|NIHR Clinical Research Network, Leicester, East Midlands, United Kingdom|Sir Peter Mansfield Imaging Centre, Nottingham, East Midlands, United Kingdom|Nottingham University Hospitals Nhs Trust, Nottingham, East Midlands, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/73/NCT04004273/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/73/NCT04004273/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04004273"
334,"NCT03884920","Effective Enhancement of Glucose Tolerance and Prevention of Diabetes Mellitus Type 2 by Polyherbal Formulation","Phase-1","Completed","No Results Available","Diabetes Mellitus|Pre Diabetes","Dietary Supplement: Polyherbal formulation","Fasting Glucose Tolerance (FGT)|Glucose Tolerance (GT)|HB-A1c|Lipid Profile","Islamia University of Bahawalpur","All","18 Years to 59 Years   (Adult)",,"57","Other","Observational","Observational Model: Case-Crossover|Time Perspective: Cross-Sectional","Hashmi5767","March 20, 2019","May 5, 2019","May 20, 2019","March 21, 2019",,"July 5, 2019","University College of Conventional Medicine, Bahawalpur, Pakistan","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/20/NCT03884920/Prot_001.pdf","https://ClinicalTrials.gov/show/NCT03884920"
335,"NCT04178603","Copenhagen, Boston, Sydney","COBOS","Recruiting","No Results Available","Insulin Resistance|Insulin Sensitivity|Type 2 Diabetes","Other: Exercise, insulin infusion","Muscle glucose uptake during exercise and enhanced insulin sensitivity in recovery from exercise.|Posttranslational modification of proteins in muscle biopsies.","University of Copenhagen|Pfizer|University of Sydney","Male","25 Years to 40 Years   (Adult)","Not Applicable","20","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","COBOS","July 5, 2018","July 1, 2020","July 1, 2020","November 26, 2019",,"November 26, 2019","Department of Exercise, Nutrition and Sports, Faculty of Sciences, University of Copenhagen, København, Denmark",,"https://ClinicalTrials.gov/show/NCT04178603"
336,"NCT04180332","Anti Oxidant Enzymes and Total Antioxidant Levels in Diabetes Mellitus Type II Patients and Healthy Individuals With Periodontitis",,"Completed","No Results Available","Periodontal Diseases|Diabetes Mellitus|Enzyme Disorder","Diagnostic Test: Blood sample","Catalase estimation|Antioxidant estimation","Ajman University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","NU/CEC/Ph.D04/2010","August 10, 2017","August 10, 2018","August 10, 2018","November 27, 2019",,"November 27, 2019","AB shetty institute of dental sciences, Mangaluru, India",,"https://ClinicalTrials.gov/show/NCT04180332"
337,"NCT03807596","Hyaluronic Acid With Scaling & Root Planing In Chronic Periodontitis Patients With Diabetes Mellitus Type 2",,"Completed","No Results Available","Chronic Periodontitis","Procedure: Periodontal treatment with Hyaluronic acid associated with SRP|Procedure: Scaling & root planning alone","Gain in clinical attachment level","Cairo University","All","38 Months to 56 Months   (Child)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15062011","March 16, 2017","June 29, 2017","June 29, 2017","January 17, 2019",,"January 18, 2019","Faculty of Dentistry, Cairo University, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT03807596"
338,"NCT04027530","Renal Oxygenation, Oxygen Consumption and Hemodynamic Kinetics in Type 2 DIabetes: an Ertugliflozin Study.","ROCKIES","Not yet recruiting","No Results Available","Type 2 Diabetes Mellitus|Diabetic Kidney Disease|Diabetic Nephropathy|Renal Hypoxia|Renoprotection|SGLT2 Inhibitor|Ertugliflozin","Drug: Ertugliflozin 15 mg","Renal oxygenation measured by BOLD-MRI (R2*)|Renal oxygen consumption by PET/CT-scan using 11C-Acetate|Renal hemodynamics|Renal efficiency|Cortical blood flow|Renal arterial blood flow|Acute 24-hour sodium and glucose excretion|Chronic 24-hour sodium and glucose excretion|Renal tubular function: Urinary pH|Renal tubular function: Urine Osmolality|Renal tubular function: sodium transport|Renal damage markers|Changes in plasma energy substrate: glucose|Changes in plasma energy substrate: free fatty acids|Changes in plasma energy substrate: ketone bodies|Changes in plasma energy substrate:triglycerides|Energy expenditure|Changes in erythropoietin (EPO) levels|Insulin sensitivity|Beta-cell function|Peripheral insulin extraction|Total insulin extraction","VU University Medical Center","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","40","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","DC2019 ROCKIES 1","June 2020","May 2021","December 2021","July 22, 2019",,"May 20, 2020","VU University Medical Center, Amsterdam, Netherlands",,"https://ClinicalTrials.gov/show/NCT04027530"
339,"NCT03960333","Immunometabolism in Pediatric Obesity","IPO","Recruiting","No Results Available","Obesity|Type 2 Diabetes Mellitus|Insulin Resistance",,"circulating CD4+T cells in Overweight/Obese vs Lean|circulating CD4+T cells in Type 2 Diabetic pre/post Metformin","Arkansas Children's Hospital Research Institute|National Institutes of Health (NIH)|National Institute of General Medical Sciences (NIGMS)|University of Arkansas","All","5 Years to 17 Years   (Child)",,"110","Other|NIH","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","228816|P20GM109096","April 25, 2019","February 28, 2021","February 28, 2021","May 23, 2019",,"May 23, 2019","Arkansas Children's Research Institute, Little Rock, Arkansas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/33/NCT03960333/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/33/NCT03960333/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT03960333"
340,"NCT03997773","Face-it: Health Promotion for Women With Prior Gestational Diabetes","Face-it","Recruiting","No Results Available","Gestational Diabetes|Type 2 Diabetes Mellitus|Quality of Life","Behavioral: Face-it Intervention","Change in Body Mass Index (BMI) in women with prior GDM|Change in glucose in women with prior GDM and their partner|Change in HbA1c in women with prior GDM and their partner|Change in insulin in women with prior GDM and their partner|Change in blood pressure in women with prior GDM and their partner|Change in waist- and hip circumference in women with prior GDM and their partner|Change in body fat% in women with prior GDM and their partner|Change in Body Mass Index (BMI) in partners|Change in plasma lipids/triglycerides, total cholesterol, HDL, LDL|Change in quality of life in women with prior GDM and their partner|Change in well-being in women with prior GDM and their partner|Change in self-perceived health in women with prior GDM and their partner|Change in stress in women with prior GDM and their partner|Change in dietary patterns in women with prior GDM and their partner|Change in physical activity patterns in women with prior GDM and their partner","Steno Diabetes Center Copenhagen|Steno Diabetes Center Odense|Steno Diabetes Center Aarhus|Rigshospitalet, Denmark|Odense University Hospital|Aarhus University Hospital|Aarhus Municipality|Odense Municipality|Copenhagen Municipality|Liva Healthcare A/S","All","Child, Adult, Older Adult","Not Applicable","460","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","StenoDC","May 21, 2019","January 30, 2023","January 30, 2023","June 25, 2019",,"June 28, 2019","Aarhus University Hospital, Aarhus, Denmark|Rigshospitalet, Copenhagen, Denmark|Odense University Hospital, Odense, Denmark",,"https://ClinicalTrials.gov/show/NCT03997773"
341,"NCT04053621","Co-administration of Thiamine Pyrophosphate and Metformin in Type 2 Diabetes",,"Recruiting","No Results Available","Diabetes Mellitus, Type 2","Dietary Supplement: Thiamine pyrophosphate|Other: Placebo|Drug: Metformin","hemoglobin A1c|fasting plasma glucose|Lipids profile|inflammation markers|Lifestyle measurement|heart rate variability|arterial elasticity","Laboratorios Manuell SA|Universidad Nacional Autonoma de Mexico","All","18 Years and older   (Adult, Older Adult)","Not Applicable","92","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","2336732","August 2019","May 2020","June 2020","August 12, 2019",,"August 12, 2019","Centro Especializado en Diabetes, Obesidad, Prevención y Enfermedades Cardiovasculares, S.C., Mexico City, Cdmx, Mexico",,"https://ClinicalTrials.gov/show/NCT04053621"
342,"NCT04028076","Improving Diabetes Medication Adherence for African Americans in Madison and Milwaukee Through Peer Support",,"Recruiting","No Results Available","Type2 Diabetes|Medication Adherence|Medication Nonadherence|Peer Support","Behavioral: Peers Supporting Health-Literacy, Self Efficacy, Advocacy and Adherence","Change in Hemoglobin A1c|Beliefs about Medicines Questionnaire|Culturally adapted illness perception questionnaire|Self-Efficacy for Appropriate Medication Use Scale (SEAMS)|Newest Vital Sign|Adherence to Refills and Medications Scale for Diabetes (ARMS-D)","University of Wisconsin, Madison","All","30 Years to 65 Years   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","2019-0721","July 10, 2019","October 31, 2020","December 31, 2020","July 22, 2019",,"April 24, 2020","University of Wisconsin - Madison, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04028076"
343,"NCT04076384","Effectiveness of a Team-based Follow-up Program in General Practice Among People With Chronic Conditions",,"Enrolling by invitation","No Results Available","Diabetes Type 2|COPD","Behavioral: Guided Self-Determination|Behavioral: Standard care","Patient Activation Measure (PAM-13)|HbA1c|Problem Areas in Diabetes Scale (PAID-5)|The World Health Organization 5-item Well-Being Index (WHO-5)|Quality of Life-BREF 2-Item questionnaire|The EuroQol EQ-5D-5L|The European Health Literacy survey tool (HLS-EU-Q12)|Perceived Competence for Diabetes Scale (PCDS)|The Finnish Diabetes Risc Calculator (FINDRISC)","Bergen University College|University of Bergen|University of Stavanger","All","20 Years to 80 Years   (Adult, Older Adult)","Not Applicable","308","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","2019/28","August 19, 2019","December 2022","June 2025","September 3, 2019",,"September 3, 2019","Western Norway University of Applied Sciences, Bergen, Hordaland, Norway",,"https://ClinicalTrials.gov/show/NCT04076384"
344,"NCT04115657","The Effect of Different Starches of Boba Pearls and Sugar Substitutes Used in Milk Tea on Glycaemia, Insulinaemia and Appetite Control (Pearl Study)",,"Active, not recruiting","No Results Available","Diabete Type 2|Obese","Other: Starch 1|Other: Starch 2|Other: Starch 3|Other: Starch 4|Other: Sugar 1|Other: Sugar 2","Postprandial glucose|Postprandial insulin|Appetite control","Clinical Nutrition Research Centre, Singapore","Male","21 Years to 40 Years   (Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","2018/01194","May 2, 2019","March 31, 2020","March 31, 2020","October 4, 2019",,"January 22, 2020","Clinical Nutrition Research Centre, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT04115657"
345,"NCT03903965","Comparison of Retinal Perfusion Between Diabetic and Non-diabetic Patients With OCT Angiography After Cataract Surgery.",,"Recruiting","No Results Available","Diabetes Mellitus Type 2|Age Related Cataracts",,"OCT Angiography parameters|aqueous humor cytokines levels","Peking University Third Hospital","All","50 Years to 80 Years   (Adult, Older Adult)",,"120","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2019032501","September 1, 2018","December 1, 2019","December 1, 2019","April 4, 2019",,"December 3, 2019","Peking University Third Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT03903965"
346,"NCT04206748","iGlucose® Remote Patient Monitoring Device as an Adjunct to Routine Glucose Meter Devices for Glycemic Management and Control in Gestational Diabetes","iGlucose","Recruiting","No Results Available","Gestational Diabetes|Type2 Diabetes|Pregnancy in Diabetic","Device: iGlucose Smart Meter System|Device: Routine Care-RX meter","Neonatal morbidity|Neonatal gestational age at delivery|# of neonates who where Small for gestational age (SGA)|Neonatal intensive care unit (NICU) length of stay|# of Neonates with hyperbilirubinemia-requiring therapy.|Average Neonatal Weight|Maternal Mean fasting glucose|Maternal Mean post prandial glucose|Maternal # of Hypoglycemia events (<60 mg/dl)|Maternal weight gain during pregnancy|Maternal Gestational hypertension|Maternal Preeclampsia|Maternal Cesarean delivery|Maternal Operative vaginal delivery|Effect of SMBG checks on pregnancy","The University of Texas Health Science Center, Houston|Smart Meter Corporation","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","HSC-MS-19-0402","November 12, 2019","November 12, 2021","November 1, 2022","December 20, 2019",,"December 20, 2019","The University of Texas Health Science Center at Houston, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04206748"
347,"NCT03829046","The Effects of Evolocumab in Patients With Diabetes and Atherosclerotic Vascular Disease",,"Recruiting","No Results Available","Atherosclerotic Vascular Disease|Type2 Diabetes|Microvascular Dysfunction","Drug: Placebo|Drug: Evolocumab","Number of Adverse Events|Seattle Angina Questionnaire|MDA Level|MPO Level|IL-6 Level|IL-18 Level|TNF-α Level|PECAM Level|ICAM Level|VCAM Level|Alpha5/Beta3 Activation Levels","Robert Rosenson|Amgen|University of Toronto|University of Michigan|Icahn School of Medicine at Mount Sinai","All","18 Years and older   (Adult, Older Adult)","Phase 4","40","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Supportive Care","GCO 18-1412|20167719","June 3, 2019","October 2020","October 2020","February 4, 2019",,"October 8, 2019","Icahn School of Medicine at Mount Sinai, New York, New York, United States|St. Michael's - University of Toronto, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT03829046"
348,"NCT04152811","Cooking Matters for Diabetes - A 6-Week Program for Practical Application of Diabetes Self-Management Education",,"Active, not recruiting","No Results Available","Diabetes Mellitus|Type 1 Diabetes|Type 2 Diabetes","Behavioral: Cooking Matters for Diabetes|Other: Usual Diabetes Care","Change in Hemoglobin A1c over 4.5 months|Change in Health Related Quality of Life over 4.5 months using SF-12 Survey","Ohio State University|Academy of Nutrition and Dietetics","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","2019H0095","July 5, 2019","July 1, 2021","July 1, 2021","November 5, 2019",,"January 27, 2020","The Ohio State University Wexner Medical Center - Outpatient Care East, Columbus, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04152811"
349,"NCT04060745","Glucose Metabolism in Brown Adipose Tissue (BAT) in Young Healthy Men Evaluated by Deuterium Metabolic Imaging (DMI)",,"Recruiting","No Results Available","Type2 Diabetes|Obesity|Metabolic Syndrome","Other: cooling using a water-perfused vest|Other: thermoneutrality","Changes in glucose metabolism between non-activated and cold-activated BAT|BAT DMI measurements compared to plasma NMR measurements|Changes in fat/water thresholds in BAT in cold versus thermoneutral conditions|Changes in metabolic profiles in cold versus thermoneutral conditions","University of Aarhus|Aarhus University Hospital|Steno Diabetes Center Copenhagen","Male","18 Years to 35 Years   (Adult)","Not Applicable","10","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","Brown fat imaging","August 1, 2019","December 2019","August 2020","August 19, 2019",,"August 19, 2019","Department of Endocrinology and Internal Medicine, Aarhus University Hospital, Aarhus, Denmark",,"https://ClinicalTrials.gov/show/NCT04060745"
350,"NCT03912363","Intrapartum Glycemic Control With Insulin Infusion Versus Rotating Fluids",,"Recruiting","No Results Available","Type II Diabetes Mellitus|Gestational Diabetes Mellitus","Other: Rotating fluids protocol|Other: Insulin infusion protocol","Neonatal blood glucose value|Mean neonatal blood glucose value|Incidence of maternal hypoglycemia|Mean intrapartum maternal blood glucose value|Maternal blood glucose value before delivery|Incidence of composite neonatal outcome","Geisinger Clinic","Female","14 Years to 50 Years   (Child, Adult)","Not Applicable","74","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2018-0502","November 1, 2019","December 31, 2020","June 30, 2021","April 11, 2019",,"November 4, 2019","Geisinger, Danville, Pennsylvania, United States|Geisinger Wyoming Valley, Wilkes-Barre, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03912363"
351,"NCT03933696","Light, Metabolic Syndrome and Alzheimer's Disease",,"Recruiting","No Results Available","Mild Cognitive Impairment|Alzheimer Disease|Type2 Diabetes","Device: Tailored Lighting Intervention","Sleep disturbance|Metabolic control|Depression|Cognition|Sleep disturbance using actigraphy|Light measurements|Melatonin Levels","Rensselaer Polytechnic Institute|Icahn School of Medicine at Mount Sinai","All","55 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","Aim 2","April 1, 2019","September 1, 2022","September 1, 2022","May 1, 2019",,"May 13, 2019","Mount Sinai School of Medicine, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT03933696"
352,"NCT03961659","Effects of Liraglutid, Dapagliflozin and Acarbose on the Cognitive Function, Olfactory Function, and Odor-induced Brain Activation in Overweight/Obese T2DM Patients Controlled Inadequately With Metformin Monotherapy.",,"Recruiting","No Results Available","Type 2 Diabetes Mellitus|Obesity|Cognitive Impairment","Drug: Liraglutid|Drug: Dapagliflozin|Drug: Acarbose","Change of olfactory brain activation by fMRI|Change of cognitive function|Proportion of patients whose MoCA＜26 scores|Change of blood glycaemic control|Proportion of patients whose HbA1c＜7%|Proportion of patients whose weight loss＞3% and ＞5%|Olfactory threshold test","The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School","All","40 Years to 75 Years   (Adult, Older Adult)","Not Applicable","87","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ZZ2019","May 2019","August 2020","February 2021","May 23, 2019",,"May 23, 2019","at Division of Endocrinology, the Affiliated Drum Tower Hospital of Nanjing University, Nanjing, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT03961659"
353,"NCT03860558","Impact of Metabolic Health on Sperm Epigenetic Marks in Humans",,"Recruiting","No Results Available","Overweight|Type 2 Diabetes Mellitus|Type 1 Diabetes Mellitus","Other: Lifestyle Intervention|Other: No Intervention","Spermatozoa concentration|Sperm DNA methylation, reported as genomic location of regions with methylation altered in response to intervention|RNA Sequencing","Joslin Diabetes Center","Male","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2015-40","May 1, 2018","May 2019","May 2019","March 4, 2019",,"March 4, 2019","Joslin Diabetes Center, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03860558"
354,"NCT03912909","Effects of Sodium-glucose Co-transporter-2( SGLT-2 ) Inhibition on Sympathetic Nervous System Activity in Humans","EMPA-SNS","Recruiting","No Results Available","Metabolic Syndrome|Type 2 Diabetes Mellitus|Obesity","Drug: Empagliflozin Oral Tablet [Jardiance]|Drug: Placebo Oral Tablet","Reduction in cardiac sympathetic nerve activity|Reduction in renal sympathetic nerve activity|Reduction in muscle sympathetic nerve activity|Reduction in ambulatory BP (blood pressure)|Reduction in central Blood Pressure|Change in urinary sodium excretion|Change in glycemic control","Royal Perth Hospital","All","25 Years to 65 Years   (Adult, Older Adult)","Phase 4","30","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Other","REG 16-157","August 1, 2018","March 31, 2022","December 30, 2022","April 11, 2019",,"June 11, 2020","Royal Perth Hospital, Perth, Western Australia, Australia",,"https://ClinicalTrials.gov/show/NCT03912909"
355,"NCT04098575","A Study Based on Data From German Registries That Looks at Characteristics of People Who Take the Medicine Empagliflozin for Type 2 Diabetes","EDCOS","Completed","No Results Available","Diabetes Mellitus, Type 2","Drug: Empagliflozin","Percentage of previous occurance of cardiovascular comorbidities|Percentage of Diabetes complications|Percentage of Antidiabetic and cardiovascular co-medication|Number of subjects with age|Baseline characteristics: gender|Baseline characteristics: Weight|Baseline characteristics: height|Baseline characteristics: HbA1c|Duration of diabetes (Time Since Diagnosis)|Number of subjects with previous glucose-lowering treatmen|Number of subjects with 10mg and 25mg dosage of empagliflozin|Number of subjects participated in Disease Management Programme (DMP) Type 2 Diabetes (from DPV registry)|Number of subjects with hospitalizations","Boehringer Ingelheim","All","18 Years to 80 Years   (Adult, Older Adult)",,"7900","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","1245-0198","September 16, 2019","December 31, 2019","December 31, 2019","September 23, 2019",,"January 23, 2020","Diabetes Agenda 2010 GmbH, Mahlow, Germany",,"https://ClinicalTrials.gov/show/NCT04098575"
