"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Other IDs","First Posted","Locations","URL"
54,"Study of Nivolumab Versus Placebo in Participants With High-Risk Breast Cancer","Recruiting","No Results Available","Breast Cancer","Biological: nivolumab|Drug: paclitaxel (PTX)|Other: nivolumab placebo|Drug: anthracycline|Drug: cyclophosphamide|Drug: Endocrine Therapy|Procedure: Surgery","Bristol-Myers Squibb","CA209-7FL","September 30, 2019","Local Institution, Mobile, Alabama, United States|Local Institution, Concord, California, United States|Marin Cancer Care, Inc, Greenbrae, California, United States|Local Institution, Los Angeles, California, United States|Innovative Clinical Research Institute, Whittier, California, United States|Local Institution, Stamford, Connecticut, United States|Local Institution, Jacksonville, Florida, United States|Local Institution, Miami, Florida, United States|Sacred Heart Medical Group, Pensacola, Florida, United States|Local Institution, Tallahassee, Florida, United States|University Cancer Blood Ctr, Athens, Georgia, United States|Northside Hospital,Inc.- Central Research Department, Atlanta, Georgia, United States|John B. Amos Cancer Center, Columbus, Georgia, United States|Local Institution, Louisville, Kentucky, United States|Local Institution, Bethesda, Maryland, United States|Summit Medical Group, Florham Park, New Jersey, United States|The Cancer Center At Hackensack University Medical Center, Hackensack, New Jersey, United States|Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, United States|Local Institution, Bronx, New York, United States|Local Institution, Durham, North Carolina, United States|Local Institution, Canton, Ohio, United States|Local Institution, Cleveland, Ohio, United States|Local Institution, Cleveland, Ohio, United States|Local Institution, Knoxville, Tennessee, United States|Local Institution, Fort Worth, Texas, United States|Hematology-Oncology Associates Of Fredricksburg, Inc, Fredericksburg, Virginia, United States|Virginia Cancer Institute, Richmond, Virginia, United States|Local Institution, Caba, Buenos Aires, Argentina|Local Institution, Ciudad Autonoma Beunos Aires, Buenos Aires, Argentina|Local Institution, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Local Institution, La Plata, Buenos Aires, Argentina|Local Institution, Rosario, Santa FE, Argentina|Local Institution, Buenos Aires, Argentina|Local Institution, Caba, Argentina|Local Institution, Cordoba, Argentina|Local Institution, La Rioja, Argentina|Local Institution, Viedma, Argentina|Mater Hospital, North Sydney, New South Wales, Australia|Port Macquarie Base Hospital, Port Macquarie, New South Wales, Australia|Local Institution, Herston, Queensland, Australia|Calvary Central Districts Hospital, Elizabeth Vale, South Australia, Australia|Monash Medical Centre Clayton, Clayton, Victoria, Australia|Local Institution, Heidelberg, Victoria, Australia|Local Institution, Melbourne, Victoria, Australia|Ballarat Base Hospital, North Ballarat, Victoria, Australia|Local Institution, Graz, Austria|Local Institution, Innsbruck, Austria|Landeskrankenhaus-Universitaetsklinik fuer Innere Medizin III, Salzburg, Austria|Local Institution, Wien, Austria|Local Institution, Wien, Austria|Local Institution, Brussels, Belgium|Local Institution, Charleroi, Belgium|Local Institution, Edegem, Belgium|Local Institution, Gent, Belgium|Local Institution, Liege, Belgium|Local Institution, Fortaleza, Ceara, Brazil|Local Institution, Ijui, RIO Grande DO SUL, Brazil|Local Institution, Porto Alegre, RIO Grande DO SUL, Brazil|Local Institution, Barretos, SAO Paulo, Brazil|Local Institution, Santo Andre, SP, Brazil|Local Institution, Port Alegre, Brazil|Local Institution, Rio de Janeiro, Brazil|Local Institution, Sao Paulo, Brazil|Local Institution, Sao Paulo, Brazil|Local Institution, Sao Paulo, Brazil|Local Institution, Kingston, Ontario, Canada|Local Institution, Thunder Bay, Ontario, Canada|Local Institution, Toronto, Ontario, Canada|Local Institution, Montreal, Quebec, Canada|Local Institution, Montreal, Quebec, Canada|Local Institution, Montreal, Quebec, Canada|Centre integre universitaire de sante et de service sociaux de l'estrie - CHUS, Sherbrooke, Quebec, Canada|Local Institution, Santiago de Chile, Metropolitana, Chile|Local Institution, Vina del Mar, Valparaiso, Chile|Local Institution, La Serena, Chile|Local Institution, Santiago Region Metropolitana, Chile|Local Institution, Colombia, Bogota, Colombia|Local Institution, Bogota, Colombia|Local Institution, Cali, Colombia|Local Institution, Floridablanca, Colombia|Local Institution, Monteria, Colombia|Local Institution, Rionegro, Antioquia, Colombia|Local Institution, Chomutov, Czechia|Local Institution, Hradec Kralove, Czechia|Local Institution, Novy Jicin, Czechia|Local Institution, Olomouc, Czechia|Local Institution, Praha 10, Czechia|Local Institution, Aarhus N, Denmark|Local Institution, Herlev, Denmark|Local Institution, Kobenhavn O, Denmark|Local Institution, Naestved, Denmark|Local Institution, Helsinki, Finland|Local Institution, Tampere, Finland|Local Institution, Bayonne, France|Local Institution, Besancon, France|Local Institution, Brest, France|Local Institution, Clermont-ferrand, France|Local Institution, Le Mans Cedex 2, France|Local Institution, Lyon, France|Local Institution, Paris, France|Local Institution, Plerin, France|Local Institution, Saint Herblain Cedex, France|Local Institution, Villejuif, France|Local Institution, Berlin, Germany|Local Institution, Berlin, Germany|Universitaetsklinikum Carl Gustav Carus, Dresden, Germany|Local Institution, Essen, Germany|Local Institution, Frankfurt am Main, Germany|Local Institution, Hamburg, Germany|Local Institution, Heidelberg, Germany|Local Institution, Homburg, Germany|Local Institution, Koeln, Germany|Local Institution, Leipzig, Germany|Evang. Krankenhaus Bethesda, Moenchengladbach, Germany|Local Institution, Muenchen, Germany|Local Institution, Rostock, Germany|Local Institution, Saarbruecken, Germany|MVZ-Onkologie Velbert GbR, Velbert, Germany|Local Institution, Wuerzburg, Germany|Local Institution, Hong Kong, Hong Kong|Local Institution, Wilton, Cork, Ireland|Local Institution, Dublin 8, Dublin, Ireland|Local Institution, Dublin, Ireland|Local Institution, Bergamo, Italy|Local Institution, Catania, Italy|Local Institution, Catanzaro, Italy|Local Institution, Milano, Italy|Local Institution, Napoli, Italy|Local Institution, Napoli, Italy|Local Institution, Padova, Italy|Local Institution, Pavia, Italy|Local Institution, Prato, Italy|Local Institution, Roma, Italy|Local Institution, Rozzano MI, Italy|Local Institution, Mexico City, Distrito Federal, Mexico|Local Institution, Tlalpan, Distrito Federal, Mexico|Local Institution, Monterrey, Nuevo LEON, Mexico|Local Institution, Merida, Yucatan, Mexico|Local Institution, Chihuahua, Mexico|Local Institution, Colima, Mexico|Local Institution, Oaxaca, Mexico|Local Institution, Amsterdam, Netherlands|Local Institution, Breda, Netherlands|Local Institution, Deventer, Netherlands|Local Institution, Rotterdam, Netherlands|Local Institution, Utrecht, Netherlands|Local Institution, Koszalin, Poland|Local Institution, Krakow, Poland|Local Institution, Lodz, Poland|Local Institution, Opole, Poland|Local Institution, Warszawa, Poland|Local Institution, Lisboa, Portugal|Local Institution, Lisboa, Portugal|Local Institution, Porto, Portugal|Ponce Medical School Foundation, Ponce, Puerto Rico|Local Institution, San Juan, Puerto Rico|Local Institution, Bucharest, Romania|Local Institution, Bucuresti, Romania|Local Institution, Craiova, Romania|Local Institution, Floresti, Romania|Local Institution, Suceava, Romania|Local Institution, Singapore, Singapore|Local Institution, Singapore, Singapore|Local Institution, Singapore, Singapore|Local Institution, Barcelona, Spain|Local Institution, Barcelona, Spain|Local Institution, Elche (alicante), Spain|Local Institution, Madrid, Spain|Local Institution, Madrid, Spain|Local Institution, Madrid, Spain|Local Institution, Malaga, Spain|Local Institution, Santiago Compostela, Spain|Local Institution, Sevilla, Spain|Local Institution, Basel, Switzerland|Local Institution, Lausanne, Switzerland|Local Institution, Thun, Switzerland|Local Institution, Swansea, Glamorgan, United Kingdom|Local Institution, Manchester, Greater Manchester, United Kingdom|Local Institution, Coventry, United Kingdom|Local Institution, Headington, United Kingdom|Local Institution, London, United Kingdom","https://ClinicalTrials.gov/show/NCT04109066"
55,"Fibrotic Focus in Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer","Diagnostic Test: Immunohistochemistry","Chinese University of Hong Kong","2019.444","October 10, 2019",,"https://ClinicalTrials.gov/show/NCT04122131"
56,"Real World Study of Biosimilar Trastuzumab in Her2 Positive Breast Cancer","Recruiting","No Results Available","Breast Cancer",,"Libbs Farmacêutica LTDA","LB1802","March 27, 2019","William Hiromi Fuzita, Manaus, Amazonas, Brazil|Daniel Fontes Santos de Teive e Argolo, Salvador, Bahia, Brazil|Márcia Cristina Colares Régis de Araújo, Fortaleza, Ceará, Brazil|João Paulo Vendas Villalba, Campo Grande, MS, Brazil|Sâmio Pimentel Ferreira, Belém, Pará, Brazil|Cláudio Rocha, Teresina, Piaui, Brazil|Danielli de Almeida Matias, Natal, Rio Grande Do Norte, Brazil|Tomás Reinert, Caxias Do Sul, Rio Grande Do Sul, Brazil|Giuliano Santos Borges, Itajaí, Santa Catarina, Brazil|Raquel Pedro Moreira, Araraquara, São Paulo, Brazil|Daniel Grabarz, Mogi Das Cruzes, São Paulo, Brazil|Monique Celeste Tavares, São Paulo, Brazil","https://ClinicalTrials.gov/show/NCT03892655"
57,"A Pilot Study on Use of Liquid Crystal Contact Thermography to Detect Early Breast Cancer","Completed","No Results Available","Breast Cancer","Device: Thermographic breast examination performed by Braster device","Braster S.A.|Clinmark Clinical Research","ThermaAlg","March 1, 2019",,"https://ClinicalTrials.gov/show/NCT03858738"
58,"Tw HER2 Positive Breast Cancer Productivity & Utility Study","Recruiting","No Results Available","HER2-positive Breast Cancer",,"Taiwan Epidemiology Association","ML40952","July 8, 2019","National Taiwan University hospital, Taipei, Taiwan","https://ClinicalTrials.gov/show/NCT04011085"
59,"FErtility, PrEgnancy, contRaceptIon After Breast Cancer in France","Recruiting","No Results Available","Breast Cancer Female","Other: questionnaires","Institut Curie|seintinelles network","IC 2016-07","March 21, 2019","Seintinelles.Com, Paris, France","https://ClinicalTrials.gov/show/NCT03884413"
60,"Pre-operAtive Non-Anthracycline Chemotherapy, Durvalumab +/- RAdiation Therapy in Triple Negative Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer|Triple Negative Breast Cancer","Drug: Durvalumab|Radiation: Radiation Therapy|Drug: Carboplatin|Drug: Paclitaxel","Cedars-Sinai Medical Center|AstraZeneca","IIT2018-17-McArthur-TCDRT","March 13, 2019","Cedars Sinai Medical Center, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT03872505"
61,"Exercise Study for Breast Cancer Survivors","Active, not recruiting","No Results Available","Breast Cancer","Other: Exercise Intervention","San Diego Biomedical Research Institute|California Breast Cancer Research Program|Arizona State University|Tri-City Wellness & Fitness Center|We Support U","25IB-0023","December 23, 2019","Aditi Narsale, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT04208074"
62,"Coping Together After Breast Cancer","Recruiting","No Results Available","Breast Cancer","Behavioral: Intimacy Enhancement|Behavioral: Living Healthy Together","Fox Chase Cancer Center|National Cancer Institute (NCI)","18-1025|1R01CA222124-01A1","April 29, 2019","Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03930797"
63,"Study of 2 Ribociclib Doses in Combination With Aromatase Inhibitors in Women With HR+, HER2- Advanced Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: Ribociclib|Drug: Letrozole or Anastrozole|Drug: Goserelin","Novartis Pharmaceuticals|Novartis","CLEE011A2207|2018-004234-15","January 30, 2019","Southern Cancer Center PC, Mobile, Alabama, United States|Marin Cancer Care, Greenbrae, California, United States|Rocky Mountain Cancer Centers Rocky Mountain Cancer Ctr (50), Greenwood Village, Colorado, United States|Mid Florida Hematology and Oncology Center, Orange City, Florida, United States|Florida Retina Institute, Orlando, Florida, United States|Emory University School of Medicine/Winship Cancer Institute, Atlanta, Georgia, United States|Weinberg Cancer Institute at Franklin Square Hospital, Baltimore, Maryland, United States|Nebraska Hematology-Oncology, P.C., Lincoln, Nebraska, United States|Nebraska Cancer Specialists Oncology Hematology West, Omaha, Nebraska, United States|Comprehensive Cancer Centers of Nevada CCC of Nevada Henderson (4), Las Vegas, Nevada, United States|New York Oncology Hematology SC, Albany, New York, United States|Montefiore Medical Center, Bronx, New York, United States|Mount Sinai School of Medicine CFTY720D2306, New York, New York, United States|US Oncology Central Monitoring Regulatory - 2, Dallas, Texas, United States|Millennium Oncology, Houston, Texas, United States|Texas Oncology, McAllen, Texas, United States|Tyler Cancer Center, Tyler, Texas, United States|Community Cancer Trials of Utah, Ogden, Utah, United States|Northwest Medical Specialties Dept.ofNW Med. Specialties, Tacoma, Washington, United States|Novartis Investigative Site, Caba, Buenos Aires, Argentina|Novartis Investigative Site, San Juan, Argentina|Novartis Investigative Site, Innsbruck, Austria|Novartis Investigative Site, Linz, Austria|Novartis Investigative Site, Salzburg, Austria|Novartis Investigative Site, Vienna, Austria|Novartis Investigative Site, Wien, Austria|Novartis Investigative Site, Bruxelles, Belgium|Novartis Investigative Site, Edegem, Belgium|Novartis Investigative Site, Namur, Belgium|Novartis Investigative Site, Ottignies, Belgium|Novartis Investigative Site, Goiania, GO, Brazil|Novartis Investigative Site, Natal, RN, Brazil|Novartis Investigative Site, Florianopolis, Santa Catarina, Brazil|Novartis Investigative Site, Sao Paulo, SP, Brazil|Novartis Investigative Site, Sao Paulo, SP, Brazil|Novartis Investigative Site, Sao Jose Do Rico Preto, Brazil|Novartis Investigative Site, Plovdiv, Bulgaria|Novartis Investigative Site, Sofia, Bulgaria|Novartis Investigative Site, Sofia, Bulgaria|Novartis Investigative Site, Cambridge, Ontario, Canada|Novartis Investigative Site, Sudbury, Ontario, Canada|Novartis Investigative Site, Valledupar, Cesar, Colombia|Novartis Investigative Site, Ibague, Tolima, Colombia|Novartis Investigative Site, Bogota, Colombia|Novartis Investigative Site, Bogota, Colombia|Novartis Investigative Site, Monteria, Colombia|Novartis Investigative Site, Brno, Czech Republic, Czechia|Novartis Investigative Site, Praha 5, Czechia|Novartis Investigative Site, Helsinki, Finland|Novartis Investigative Site, Tampere, Finland|Novartis Investigative Site, Besancon Cedex, France|Novartis Investigative Site, Caen Cedex, France|Novartis Investigative Site, Clermont-Ferrand, France|Novartis Investigative Site, Lyon Cedex 08, France|Novartis Investigative Site, Marseille, France|Novartis Investigative Site, Montpellier Cedex 5, France|Novartis Investigative Site, Saint Herblain cedex, France|Novartis Investigative Site, Strasbourg, France|Novartis Investigative Site, Valenciennes, France|Novartis Investigative Site, Muenchen, Bavaria, Germany|Novartis Investigative Site, Langen, Hessen, Germany|Novartis Investigative Site, Velbert, Nordhein-Westfalen, Germany|Novartis Investigative Site, Luebeck, Schleswig-holstein, Germany|Novartis Investigative Site, Augsburg, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Bonn, Germany|Novartis Investigative Site, Dresden, Germany|Novartis Investigative Site, Dresden, Germany|Novartis Investigative Site, Essen, Germany|Novartis Investigative Site, Tübingen, Germany|Novartis Investigative Site, Weiden, Germany|Novartis Investigative Site, Budapest, Hungary|Novartis Investigative Site, Debrecen, Hungary|Novartis Investigative Site, Szolnok, Hungary|Novartis Investigative Site, Tamil Nadu, Chennai, India|Novartis Investigative Site, Raipur, Chhattisgarh, India|Novartis Investigative Site, Nagpur, Maharashtra, India|Novartis Investigative Site, Bhubaneshwar, Orissa, India|Novartis Investigative Site, Jaipur, Rajasthan, India|Novartis Investigative Site, Amman, Jordan|Novartis Investigative Site, Kaunas, LTU, Lithuania|Novartis Investigative Site, Vilnius, Lithuania|Novartis Investigative Site, San Borja, Lima, Peru|Novartis Investigative Site, Arequipa, Peru|Novartis Investigative Site, Lisbon, Portugal|Novartis Investigative Site, Loures, Portugal|Novartis Investigative Site, Porto, Portugal|Novartis Investigative Site, Arkhangelsk, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, St Petersburg, Russian Federation|Novartis Investigative Site, St-Petersburg, Russian Federation|Novartis Investigative Site, Cape Town, South Africa|Novartis Investigative Site, Johannesburg, South Africa|Novartis Investigative Site, Pretoria, South Africa|Novartis Investigative Site, Stockholm, Sweden|Novartis Investigative Site, Stockholm, Sweden|Novartis Investigative Site, Uppsala, Sweden|Novartis Investigative Site, Vaxjo, Sweden|Novartis Investigative Site, Bangkok, Thailand|Novartis Investigative Site, Chiang Mai, Thailand","https://ClinicalTrials.gov/show/NCT03822468"
