role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Other IDs,First Posted,Locations,URL
Study Director,"Christer Svedman, M.D. Ph.D.",Cadex Genomics,,NCT03892096,christer svedman,christer,male,0.98,2672,736,Development and Validation of a qPCR Cell Free DNA Assay as a Potential Biomarker for Predicting Early Non-response to Therapy in Metastatic Cancer,"Active, not recruiting",No Results Available,Metastatic Non-Small Cell Lung Carcinoma|Metastatic Colorectal Cancer|Metastatic Breast Cancer,Diagnostic Test: Blood-based cell-free cfDNA qPCR assay,Cadex Genomics,CADEX-0001,"March 27, 2019","CARTI Cancer Center, Little Rock, Arkansas, United States|Sutter Health - Palo Alto Medical Foundation, Sunnyvale, California, United States|Rocky Mountain Cancer Centers, Denver, Colorado, United States|Cancer Specialists of North Florida, Jacksonville, Florida, United States|IACT Health, Columbus, Georgia, United States|University Medical Center, New Orleans, Louisiana, United States|Southeast Louisiana Veterans Health Care System, New Orleans, Louisiana, United States|Nebraska Cancer Center, Omaha, Nebraska, United States|National Translational Research Group LLC, Port Jefferson Station, New York, United States|Waverly Hematology Oncology, Cary, North Carolina, United States|Advent Health, Hendersonville, North Carolina, United States|Greenville Health System - Prisma Health, Greenville, South Carolina, United States|West Cancer Center and Research Institute, Germantown, Tennessee, United States|McGill University, Montréal, Quebec, Canada",https://ClinicalTrials.gov/show/NCT03892096
Study Chair,"Jordi Rodon Ahnert, MD, PhD",M.D. Anderson Cancer Center,,NCT04152499,jordi rodon ahnert,jordi,male,0.99,31600,737,"Phase I-II, FIH, TROP2 ADC, Advanced Unresectable/Metastatic Solid Tumors, Refractory to Standard Therapies",Recruiting,No Results Available,Ovarian Epithelial Cancer|Gastric Adenocarcinoma|Pancreas Adenocarcinoma|Triple Negative Breast Cancer|Bladder Cancer,Drug: SKB264,Klus Pharma Inc.,KL264-01,"November 5, 2019","University of California Los Angeles, Los Angeles, California, United States|Georgetown University, Washington, District of Columbia, United States|Florida Cancer Specialists and Research Institute, Sarasota, Florida, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|START MidWest, Grand Rapids, Michigan, United States|The University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|Providence Cancer Institute, Franz Clinic, Portland, Oregon, United States|Mary Crowley Cancer Research, Dallas, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States|Virginia Cancer Specialists, Fairfax, Virginia, United States",https://ClinicalTrials.gov/show/NCT04152499
Study Director,"Sam Whiting, MD, PhD","Calithera Biosciences, Inc",,NCT03875313,sam whiting,sam,male,0.81,96261,740,Study of CB-839 (Telaglenastat) in Combination With Talazoparib in Patients With Solid Tumors,Recruiting,No Results Available,Solid Tumor|Clear Cell Renal Cell Carcinoma|TNBC - Triple-Negative Breast Cancer|Colorectal Cancer|CRC|RCC|ccRCC,Drug: CB-839|Drug: Talazoparib,"Calithera Biosciences, Inc",CX-839-011,"March 14, 2019","University of Alabama, Birmingham, Alabama, United States|Winship Cancer Institute of Emory University, Atlanta, Georgia, United States|University of Iowa, Iowa City, Iowa, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Columbia University, New York, New York, United States|MD Anderson, Houston, Texas, United States|South Texas Accelerated Research Therapeutics, LLC, San Antonio, Texas, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States|University of Wisconsin, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT03875313
Study Director,"Phillip Garfin, MD, PhD","Seattle Genetics, Inc.",,NCT04042480,phillip garfin,phillip,male,0.99,7618,741,A Study of SGN-CD228A in Advanced Solid Tumors,Recruiting,No Results Available,Cutaneous Melanoma|Pleural Mesothelioma|Breast Cancer|Non-small Cell Lung Cancer|Colorectal Cancer|Pancreatic Ductal Adenocarcinoma,Drug: SGN-CD228A,"Seattle Genetics, Inc.",SGN228-001,"August 2, 2019","Angeles Clinic and Research Institute, The, Santa Monica, California, United States|Case Western Reserve University / University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|MD Anderson Cancer Center / University of Texas, Houston, Texas, United States|South Texas Accelerated Research Therapeutics, San Antonio, Texas, United States",https://ClinicalTrials.gov/show/NCT04042480
Study Chair,"Marco Klinger, MD",Istituto Clinico Humanitas,,NCT04130373,marco klinger,marco,male,0.99,357670,744,Multicentric Risk Evaluation of Autologous Fat Grafting Procedure,"Active, not recruiting",No Results Available,"Pain, Postoperative",Procedure: Autologous fat grafting procedure|Procedure: Breast reconstruction,Humanitas Clinical and Research Center,1955K,"October 17, 2019","Istituto Clinico Humanitas, Rozzano, Milan, Italy",https://ClinicalTrials.gov/show/NCT04130373
Principal Investigator,"Melissa Accordino, MD",Columbia University,,NCT03873272,melissa accordino,melissa,female,0.99,63975,747,The CONTRoL Trial: Cryotherapy vs. cOmpression Neuropathy TRiaL,Recruiting,No Results Available,CIPN - Chemotherapy-Induced Peripheral Neuropathy,Device: Cryotherapy|Device: Compression Therapy|Device: Loose glove/sock,Columbia University,AAAR9515,"March 13, 2019","Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT03873272
Principal Investigator,"Huma Q Rana, MD",Dana-Farber Cancer Institute,,NCT04066361,huma q rana,huma,female,0.85,496,752,OPTimizing Treatment Focused Genetic Testing IN Cancer,Recruiting,No Results Available,Breast Cancer|Ovarian Cancer|Pancreatic Cancer|Prostate Cancer,Other: Chatbot|Other: Video Education,Dana-Farber Cancer Institute,19-068,"August 26, 2019","Dana Farber Cancer Institute, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04066361
Principal Investigator,"Ralf Bargou, Prof. Dr.","Universitätsklinikum Würzburg, CCC Mainfranken",,NCT03927573,ralf bargou,ralf,male,0.99,16387,754,"Study With Bispecific Antibody Engaging T-cells, in Patients With Progressive Cancer Diseases With Positive PSCA Marker",Recruiting,No Results Available,Non-small Cell Lung Cancer|Breast Cancer|Pancreatic Cancer|Urogenital Cancer,Drug: GEM3PSCA,GEMoaB Monoclonals GmbH|GCP-Service International Ltd. & Co. KG,GEM3PSCA-01,"April 25, 2019","Klinikum rechts der Isar der TU München, Munich, Bayern, Germany|Universitätsklinikum Würzburg, Würzburg, Bayern, Germany|Universitätsklinikum Dresden, Dresden, Sachsen, Germany",https://ClinicalTrials.gov/show/NCT03927573
Principal Investigator,"Rachael B Lancaster, MD",University of Alabama at Birmingham,,NCT04019834,rachael b lancaster,rachael,female,0.97,3161,758,Preoperative Regional Nerve Block for Acute and Chronic Post-Operative Pain Following Mastectomy,Not yet recruiting,No Results Available,"Breast Cancer|Mastectomy|Anesthesia, Local|Narcotic Use",Drug: regional nerve block with local anesthesia of bupivacaine with steroid|Other: Placebo regional nerveblock with normal saline,University of Alabama at Birmingham,IRB-300003680,"July 15, 2019",,https://ClinicalTrials.gov/show/NCT04019834
Principal Investigator,"Filippo De Braud, Professor","Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, Italy",,NCT04001725,filippo de braud,filippo,male,0.99,27899,759,Efficacy of metfOrmin in PrevenTIng Glucocorticoid-induced Diabetes in Patients With Brain Metastases,Recruiting,No Results Available,Brain Metastases|Melanoma|Lung Cancer|Breast Cancer,Drug: Dexamethasone|Drug: Metformin,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano|University of Milan",INT31/19|B43C17000350001|2019-000105-73,"June 28, 2019","Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, Italy",https://ClinicalTrials.gov/show/NCT04001725
Principal Investigator,"Megha Ramaswamy, PhD, MPH",University of Kansas School of Medicine,,NCT03984695,megha ramaswamy,megha,female,0.93,383,760,Sexual Health Empowerment for Women's Health,Recruiting,No Results Available,Cervical Cancer|Breast Cancer|Contraceptive Usage|Sexually Transmitted Diseases,Behavioral: SHE-WOMEN,University of Kansas Medical Center,STUDY00143316,"June 13, 2019","Jackson County Correctional Facility, Kansas City, Missouri, United States",https://ClinicalTrials.gov/show/NCT03984695
Principal Investigator,"doaa AA abd-el-wahed, A.lecturer","assistant lecturer at faculty of physical therapy, Cairo university",,NCT04185181,doaa aa abd-el-wahed,doaa,female,0.98,725,761,Virtual Reality Versus Proprioceptive Neuromuscular Facilitation on Postmastectomy Lymphedema,Completed,No Results Available,Postmastectomy Lymphedema,Other: virtual reality|Other: proprioceptive neuromuscular facilitation|Other: complete decogestive therapy,doaa atef|Cairo University,Doaa Atef,"December 4, 2019","faculty of physical therapy, Cairo university, Giza, Egypt",https://ClinicalTrials.gov/show/NCT04185181
Principal Investigator,Eric Chow,Fred Hutch/University of Washington Cancer Consortium,,NCT04081779,eric chow,eric,male,0.99,135071,764,"Survivorship Care Plans and Telehealth Education for the Improvement of Access to Cancer Survivorship, the IMPACT Study",Enrolling by invitation,No Results Available,Breast Carcinoma|Colorectal Carcinoma|Lung Carcinoma|Lymphoma|Prostate Carcinoma,Other: Survivorship Care Plan|Other: Educational Intervention|Other: Questionnaire Administration,Fred Hutchinson Cancer Research Center|National Cancer Institute (NCI),RG1005815|NCI-2019-05726|P30CA015704,"September 9, 2019","Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT04081779
Principal Investigator,"Hu Liu, MD",Anhui Provincial Cancer Hospital,,NCT03958812,hu liu,hu,male,0.71,849,765,Diagnostic Power Comparison Between VOCs and CTCs,Not yet recruiting,No Results Available,Circulating Tumor Cell|Volatile Organic Chemicals|Breast Cancer|Gastric Cancer|Diagnoses Disease,"Diagnostic Test: Circulating tumor cells, Volatile organic compounds","Anhui Medical University|Technion, Israel Institute of Technology",DPCVC,"May 22, 2019",,https://ClinicalTrials.gov/show/NCT03958812
Study Director,"Benjamin Thompson, MD, PhD","Xencor, Inc.",,NCT03849469,benjamin thompson,benjamin,male,0.99,62465,768,A Study of XmAb®22841 Monotherapy & in Combination w/ Pembrolizumab in Subjects w/ Selected Advanced Solid Tumors,Recruiting,No Results Available,Melanoma|Cervical Carcinoma|Pancreatic Carcinoma|Triple Negative Breast Cancer|Hepatocellular Carcinoma|Urothelial Carcinoma|Squamous Cell Carcinoma of the Head and Neck|Nasopharyngeal Carcinoma|Renal Cell Carcinoma|Non-small Cell Lung Carcinoma|Small Cell Lung Carcinoma|Gastric or Gastroesophageal Junction Adenocarcinoma|Advanced or Metastatic Solid Tumors|Prostate Carcinoma|MSI-H|Mismatch Repair Deficiency|Epithelial Ovarian Cancer|Fallopian Tube Cancer|Primary Peritoneal Carcinoma|Intrahepatic Cholangiocarcinoma,Biological: XmAb®22841|Biological: Pembrolizumab (Keytruda®),"Xencor, Inc.|ICON Clinical Research",XmAb22841-01|DUET-4,"February 21, 2019","UCLA Hematology & Oncology Clinic, Los Angeles, California, United States|Emory University Hospital Midtown, Atlanta, Georgia, United States|Winship Cancer Institute, Emory University, Atlanta, Georgia, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Brigham and Women's Health Care Center, Chestnut Hill, Chestnut Hill, Massachusetts, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|Karmanos Cancer Institute Weisberg Cancer Treatment Center, Farmington Hills, Michigan, United States|Siteman Cancer Center - West County, Creve Coeur, Missouri, United States|Barnes-Jewish Hospital, Saint Louis, Missouri, United States|Washington University School of Medicine - Siteman Cancer Center, Saint Louis, Missouri, United States|Siteman Cancer Center - South County, Saint Louis, Missouri, United States|Siteman Cancer Center - North County, Saint Louis, Missouri, United States|Siteman Cancer Center - St. Peters, Saint Peters, Missouri, United States|Columbia University Medical Center, New York, New York, United States|Hospital of the University of Pennsylvania - Perelman Center for Advanced Medicine, Philadelphia, Pennsylvania, United States|UPMC Hillman Cancer Center, Pittsburgh, Pennsylvania, United States|UPMC Shadyside Hospital, Pittsburgh, Pennsylvania, United States|Mary Crowley Cancer Research - Medical City, Dallas, Texas, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States|University of Utah, Huntsman Cancer Institute, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT03849469
Principal Investigator,Meghna S Trivedi,Southwest Oncology Group,,NCT03939481,meghna s trivedi,meghna,female,0.93,102,769,Treatment Effects on Development of Chemotherapy-Induced Peripheral Neuropathy in Patients With Cancer,Recruiting,No Results Available,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage IA Breast Cancer AJCC v8|Anatomic Stage IB Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8|Anatomic Stage IIB Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|Anatomic Stage IIIC Breast Cancer AJCC v8|Lung Non-Small Cell Carcinoma|Prognostic Stage I Breast Cancer AJCC v8|Prognostic Stage IA Breast Cancer AJCC v8|Prognostic Stage IB Breast Cancer AJCC v8|Prognostic Stage II Breast Cancer AJCC v8|Prognostic Stage IIA Breast Cancer AJCC v8|Prognostic Stage IIB Breast Cancer AJCC v8|Prognostic Stage III Breast Cancer AJCC v8|Prognostic Stage IIIA Breast Cancer AJCC v8|Prognostic Stage IIIB Breast Cancer AJCC v8|Prognostic Stage IIIC Breast Cancer AJCC v8|Stage I Lung Cancer AJCC v8|Stage I Ovarian Cancer AJCC v8|Stage IA Ovarian Cancer AJCC v8|Stage IA1 Lung Cancer AJCC v8|Stage IA2 Lung Cancer AJCC v8|Stage IA3 Lung Cancer AJCC v8|Stage IB Lung Cancer AJCC v8|Stage IB Ovarian Cancer AJCC v8|Stage IC Ovarian Cancer AJCC v8|Stage II Lung Cancer AJCC v8|Stage II Ovarian Cancer AJCC v8|Stage IIA Lung Cancer AJCC v8|Stage IIA Ovarian Cancer AJCC v8|Stage IIB Lung Cancer AJCC v8|Stage IIB Ovarian Cancer AJCC v8|Stage III Lung Cancer AJCC v8|Stage III Ovarian Cancer AJCC v8|Stage IIIA Lung Cancer AJCC v8|Stage IIIA Ovarian Cancer AJCC v8|Stage IIIA1 Ovarian Cancer AJCC v8|Stage IIIA2 Ovarian Cancer AJCC v8|Stage IIIB Lung Cancer AJCC v8|Stage IIIB Ovarian Cancer AJCC v8|Stage IIIC Lung Cancer AJCC v8|Stage IIIC Ovarian Cancer AJCC v8,Drug: Chemotherapy|Other: Functional Assessment|Other: Questionnaire Administration,Southwest Oncology Group|National Cancer Institute (NCI),S1714|NCI-2018-01568|SWOG-S1714|UG1CA189974,"May 6, 2019","Kaiser Permanente-Deer Valley Medical Center, Antioch, California, United States|Kaiser Permanente-Fremont, Fremont, California, United States|Kaiser Permanente-Oakland, Oakland, California, United States|Kaiser Permanente-San Francisco, San Francisco, California, United States|Kaiser Permanente-Santa Teresa-San Jose, San Jose, California, United States|Kaiser Permanente San Leandro, San Leandro, California, United States|Kaiser Permanente-Santa Rosa, Santa Rosa, California, United States|Kaiser Permanente Medical Center-Vacaville, Vacaville, California, United States|Kaiser Permanente-Vallejo, Vallejo, California, United States|Kaiser Permanente-Walnut Creek, Walnut Creek, California, United States|Sacred Heart Hospital, Pensacola, Florida, United States|Lewis Cancer and Research Pavilion at Saint Joseph's/Candler, Savannah, Georgia, United States|Hawaii Cancer Care - Savio, 'Aiea, Hawaii, United States|Pali Momi Medical Center, 'Aiea, Hawaii, United States|Hawaii Cancer Care Inc-POB II, Honolulu, Hawaii, United States|Straub Clinic and Hospital, Honolulu, Hawaii, United States|University of Hawaii Cancer Center, Honolulu, Hawaii, United States|Kaiser Permanente Moanalua Medical Center, Honolulu, Hawaii, United States|Kapiolani Medical Center for Women and Children, Honolulu, Hawaii, United States|Wilcox Memorial Hospital and Kauai Medical Clinic, Lihue, Hawaii, United States|Centralia Oncology Clinic, Centralia, Illinois, United States|Carle on Vermilion, Danville, Illinois, United States|Cancer Care Specialists of Illinois - Decatur, Decatur, Illinois, United States|Decatur Memorial Hospital, Decatur, Illinois, United States|Crossroads Cancer Center, Effingham, Illinois, United States|Little Company of Mary Hospital, Evergreen Park, Illinois, United States|Edward Hines Jr VA Hospital, Hines, Illinois, United States|Cancer Care Specialists of Illinois-Swansea, Swansea, Illinois, United States|Medical Oncology and Hematology Associates-West Des Moines, Clive, Iowa, United States|Mercy Cancer Center-West Lakes, Clive, Iowa, United States|Greater Regional Medical Center, Creston, Iowa, United States|Medical Oncology and Hematology Associates-Laurel, Des Moines, Iowa, United States|Mercy Medical Center - Des Moines, Des Moines, Iowa, United States|Mercy Medical Center-West Lakes, West Des Moines, Iowa, United States|Salina Regional Health Center, Salina, Kansas, United States|Associates In Womens Health, Wichita, Kansas, United States|Cancer Center of Kansas-Wichita Medical Arts Tower, Wichita, Kansas, United States|Cancer Center of Kansas - Wichita, Wichita, Kansas, United States|Flaget Memorial Hospital, Bardstown, Kentucky, United States|Saint Joseph Hospital East, Lexington, Kentucky, United States|Saint Joseph London, London, Kentucky, United States|Louisiana State University Health Science Center, New Orleans, Louisiana, United States|University Medical Center New Orleans, New Orleans, Louisiana, United States|Louisiana State University Health Sciences Center Shreveport, Shreveport, Louisiana, United States|Lahey Hospital and Medical Center, Burlington, Massachusetts, United States|Winchester Hospital, Winchester, Massachusetts, United States|Mercy Health Saint Mary's, Grand Rapids, Michigan, United States|Spectrum Health at Butterworth Campus, Grand Rapids, Michigan, United States|Spectrum Health Reed City Hospital, Reed City, Michigan, United States|Munson Medical Center, Traverse City, Michigan, United States|Metro Health Hospital, Wyoming, Michigan, United States|Missouri Baptist Medical Center, Saint Louis, Missouri, United States|Mercy Hospital Springfield, Springfield, Missouri, United States|CHI Health Saint Francis, Grand Island, Nebraska, United States|Saint Joseph Hospital, Nashua, New Hampshire, United States|NYP/Columbia University Medical Center/Herbert Irving Comprehensive Cancer Center, New York, New York, United States|CaroMont Regional Medical Center, Gastonia, North Carolina, United States|CarolinaEast Medical Center, New Bern, North Carolina, United States|Trinity Cancer Care Center, Minot, North Dakota, United States|Kaiser Permanente Northwest, Portland, Oregon, United States|AnMed Health Cancer Center, Anderson, South Carolina, United States|Gibbs Cancer Center-Gaffney, Gaffney, South Carolina, United States|Saint Francis Hospital, Greenville, South Carolina, United States|Prisma Health Cancer Institute - Butternut, Greenville, South Carolina, United States|Prisma Health Cancer Institute - Faris, Greenville, South Carolina, United States|Saint Francis Cancer Center, Greenville, South Carolina, United States|Prisma Health Cancer Institute - Eastside, Greenville, South Carolina, United States|Prisma Health Cancer Institute - Greer, Greer, South Carolina, United States|Gibbs Cancer Center-Pelham, Greer, South Carolina, United States|Prisma Health Cancer Institute - Seneca, Seneca, South Carolina, United States|Spartanburg Medical Center, Spartanburg, South Carolina, United States|Prisma Health Cancer Institute - Spartanburg, Spartanburg, South Carolina, United States|MGC Hematology Oncology-Union, Union, South Carolina, United States|Cookeville Regional Medical Center, Cookeville, Tennessee, United States|UMC Cancer Center / UMC Health System, Lubbock, Texas, United States|Texas Tech University Health Sciences Center-Lubbock, Lubbock, Texas, United States|University of Virginia Cancer Center, Charlottesville, Virginia, United States|Bon Secours Memorial Regional Medical Center, Mechanicsville, Virginia, United States|Bon Secours Saint Francis Medical Center, Midlothian, Virginia, United States|Bon Secours Saint Mary's Hospital, Richmond, Virginia, United States|Swedish Cancer Institute-Issaquah, Issaquah, Washington, United States",https://ClinicalTrials.gov/show/NCT03939481
Principal Investigator,Niloy J Samadder,Mayo Clinic,,NCT04067960,niloy j samadder,niloy,male,0.98,53,773,Pharmacogenomics Testing in Directing the Optimal Use of Supportive Care Medications in Patients With Stage III-IV Cancer,Recruiting,No Results Available,Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|Anatomic Stage IIIC Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Clinical Stage III Cutaneous Melanoma AJCC v8|Clinical Stage IV Cutaneous Melanoma AJCC v8|Health Care Provider|Malignant Brain Neoplasm|Malignant Genitourinary System Neoplasm|Pathologic Stage III Cutaneous Melanoma AJCC v8|Pathologic Stage IIIA Cutaneous Melanoma AJCC v8|Pathologic Stage IIIB Cutaneous Melanoma AJCC v8|Pathologic Stage IIIC Cutaneous Melanoma AJCC v8|Pathologic Stage IV Cutaneous Melanoma AJCC v8|Prognostic Stage III Breast Cancer AJCC v8|Prognostic Stage IIIA Breast Cancer AJCC v8|Prognostic Stage IIIB Breast Cancer AJCC v8|Prognostic Stage IIIC Breast Cancer AJCC v8|Prognostic Stage IV Breast Cancer AJCC v8|Stage III Colorectal Cancer AJCC v8|Stage III Ovarian Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage III Prostate Cancer AJCC v8|Stage IIIA Colorectal Cancer AJCC v8|Stage IIIA Ovarian Cancer AJCC v8|Stage IIIA Prostate Cancer AJCC v8|Stage IIIB Colorectal Cancer AJCC v8|Stage IIIB Ovarian Cancer AJCC v8|Stage IIIB Prostate Cancer AJCC v8|Stage IIIC Colorectal Cancer AJCC v8|Stage IIIC Ovarian Cancer AJCC v8|Stage IIIC Prostate Cancer AJCC v8|Stage IV Colorectal Cancer AJCC v8|Stage IV Ovarian Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Stage IVA Colorectal Cancer AJCC v8|Stage IVA Ovarian Cancer AJCC v8|Stage IVA Pancreatic Cancer|Stage IVA Prostate Cancer AJCC v8|Stage IVB Colorectal Cancer AJCC v8|Stage IVB Ovarian Cancer AJCC v8|Stage IVB Pancreatic Cancer|Stage IVB Prostate Cancer AJCC v8|Stage IVC Colorectal Cancer AJCC v8,Procedure: Biospecimen Collection|Other: Genetic Testing|Other: Quality-of-Life Assessment|Other: Questionnaire Administration,Mayo Clinic|National Cancer Institute (NCI),19-002006|NCI-2019-04725|P30CA015083,"August 28, 2019","Mayo Clinic in Arizona, Scottsdale, Arizona, United States",https://ClinicalTrials.gov/show/NCT04067960
Principal Investigator,"Yulei Jiang, Ph.D",University of Chicago,,NCT03972605,yulei jiang,yulei,female,0.7,20,774,Delphinus SoftVue™ ROC Reader Study,Completed,No Results Available,Breast Cancer Detection|Dense Breast Parenchyma|Benign Breast Findings|Normal Breast Screening|Abnormal Breast Screening,Device: Reading of Automated Breast Ultrasound in conjunction with Screening Mammography,"Delphinus Medical Technologies, Inc.|University of Chicago|Boston Biomedical Associates LLC|Reed Technical Associates, LLC",DMT-2019.001,"June 3, 2019","Cobo Center, Detroit, Michigan, United States",https://ClinicalTrials.gov/show/NCT03972605
Principal Investigator,"Mary Ellen Giger, Ph.D",Univeristy of Chicago,,NCT03972605,mary ellen giger,mary,female,0.99,142684,774,Delphinus SoftVue™ ROC Reader Study,Completed,No Results Available,Breast Cancer Detection|Dense Breast Parenchyma|Benign Breast Findings|Normal Breast Screening|Abnormal Breast Screening,Device: Reading of Automated Breast Ultrasound in conjunction with Screening Mammography,"Delphinus Medical Technologies, Inc.|University of Chicago|Boston Biomedical Associates LLC|Reed Technical Associates, LLC",DMT-2019.001,"June 3, 2019","Cobo Center, Detroit, Michigan, United States",https://ClinicalTrials.gov/show/NCT03972605
Study Director,"Albert Yu, MD",Petra Pharma,,NCT04073680,albert yu,albert,male,0.98,41504,778,A Phase 1b/2 Study of Serabelisib in Combination With Canagliflozin in Patients With Advanced Solid Tumors,Not yet recruiting,No Results Available,Breast Cancer|Endometrial Cancer|Lung Cancer|Colo-rectal Cancer|Head and Neck Cancer,Drug: Serabelisib|Drug: Canagliflozin 300mg,Petra Pharma,PT06-01,"August 29, 2019",,https://ClinicalTrials.gov/show/NCT04073680
Principal Investigator,"Alain FOURQUET, MD",Institut Curie,,NCT03878342,alain fourquet,alain,male,0.99,76390,779,Radiotherapy Omission in Low Risk Ductal in Situ Carcinoma Breast,Suspended,No Results Available,DCIS|Breast Cancer|Low Risk DCIS|Breast Conserving Surgery|Radiotherapy Omission,Radiation: Radiotherapy|Other: No Radiotherapy,"UNICANCER|National Cancer Institute, France",UC-0107/1803,"March 18, 2019","Institut de Cancérologie de l'Ouest -Site Paul Papin, Angers, France|Institut Sainte Catherine, Avignon, France|Institut Bergonie, Bordeaux, France|Centre Jean Perrin, Clermont-Ferrand, France|Centre Georges Francois Leclerc, Dijon, France|Centre Oscar Lambret, Lille, France|Centre Hospitalier Bretagne Sud, Lorient, France|Centre Léon Berard, Lyon, France|Institut Regional Du Cancer Montpellier Val D Aurelle, Montpellier, France|Institut CURIE, Paris, France|Institut Jean Godinot, Reims, France|Centre Henri Becquerel, Rouen, France|Institut De Cancerologie De Lorraine Alexis Vautrin, Vandœuvre-lès-Nancy, France",https://ClinicalTrials.gov/show/NCT03878342
Principal Investigator,"Hardeep Singh, MD MPH","Michael E. DeBakey VA Medical Center, Houston, TX",,NCT04166240,hardeep singh,hardeep,male,0.87,309,782,Measuring and Improving the Safety of Test Result Follow-Up,"Active, not recruiting",No Results Available,Lung Cancer|Breast Cancer|Colon Cancer|Bladder Cancer|Hepatocellular Cancer,Behavioral: SAFER TRACKS Intervention,VA Office of Research and Development|White River Junction Veterans Affairs Medical Center|Michael Debakey Veterans Affairs Medical Center|Baylor College of Medicine,IIR 17-127|H-45450,"November 18, 2019","Michael E. DeBakey VA Medical Center, Houston, TX, Houston, Texas, United States|White River Junction VA Medical Center, White River Junction, VT, White River Junction, Vermont, United States",https://ClinicalTrials.gov/show/NCT04166240
Study Director,JEAN-PIERRE BLEUSE,DRCI ICM VAL D'AURELLE,,NCT03975959,jean-pierre bleuse,jean-pierre,male,0.99,12826,783,Memory Perception Assessment in Central/Non-central Nervous System Cancers and HIV,Recruiting,No Results Available,Glioblastoma|Glioma|Breast Cancer|Hiv|Healthy,Other: QMRP questionnaire,Institut du Cancer de Montpellier - Val d'Aurelle,PROICM 2018-07 BPR,"June 5, 2019","Icm Val D'Aurelle, Montpellier, Herault, France",https://ClinicalTrials.gov/show/NCT03975959
Principal Investigator,"Tulin D Cil, MD, MEd","University Health Network, Toronto",,NCT04151368,tulin d cil,tulin,female,0.94,387,786,Surgical and Patient Reported Outcomes of Robotic Nipple-Sparing Mastectomy,Recruiting,No Results Available,Breast Cancer|Surgery--Complications|Genetic Predisposition to Disease|Surgery|BRCA1 Mutation|BRCA2 Mutation|Breast Diseases,Procedure: Robotic Nipple-Sparing Mastectomy (RNSM),"University Health Network, Toronto",19-5250.0,"November 5, 2019","University Health Network, Toronto, Ontario, Canada",https://ClinicalTrials.gov/show/NCT04151368
Principal Investigator,"Sofia F Garcia, Ph.D.",Northwestern University,,NCT03996031,sofia f garcia,sofia,female,0.98,59571,789,Plan to Thrive: Extending Cancer Survivorship Care Beyond the Clinic,Recruiting,No Results Available,"Cancer, Breast|Cancer of Colon|Cancer of Rectum|Cancer",Device: Plan to Thrive smartphone application,"Northwestern University|Vignet, Inc.",STU00209558,"June 24, 2019","Robert H. Lurie Comprehensive Cancer Center, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT03996031
Principal Investigator,"Rebecca Shelby, Ph.D.",Duke Psychiatry and Behavioral Sciences,,NCT03877146,rebecca shelby,rebecca,female,0.98,36835,791,Calming Alternatives Learned During MRI-Guided Breast Biopsy,Completed,No Results Available,"Breast Cancer|Breast Pain|Pain, Acute|Anxiety|Coping Skills|Self Efficacy",Behavioral: Controlled Breathing Intervention,Duke University,Pro00100029,"March 15, 2019","Duke Cancer Institute, Durham, North Carolina, United States",https://ClinicalTrials.gov/show/NCT03877146
